id_media valeur chant ligne position_ds_ligne
1019 jeunot 1 107 7
1020 Il 1 108 0
1021 passe, 1 108 1
1022 ou 1 108 2
1023 pour 1 108 3
1024 vieillot, 1 108 4
1025 le 1 108 5
1026 couteau 1 108 6
1027 de 1 108 7
1028 Janot 1 108 8
1029 ; 1 108 9
1030 — 1 109 0
1031 Le 1 109 1
1032 mur, 1 109 2
1033 quelle 1 109 3
1034 faute 1 109 4
1035 en 1 109 5
1036 conscience 1 109 6
1037 est 1 109 7
1038 la 1 109 8
1039 sienne, 1 109 9
1040 Qu'exalté 1 110 0
1041 jouet 1 110 1
1042 du 1 110 2
1043 vent 1 110 3
1044 bat 1 110 4
1045 la 1 110 5
1046 persienne 1 110 6
1047 ; 1 110 7
1048 6.jpg 1 110 1000
1049 Un 1 110 1001
1050 mur 1 110 1002
1051 qu'une 1 110 1003
1052 persienne 1 110 1004
1053 bat 1 110 1005
1054 sous 1 110 1006
1055 l'action 1 110 1007
1056 du 1 110 1008
1057 vent 1 110 1009
1058 part 1 110 1010
1059 un 1 110 1011
1060 arbre 1 110 1012
1061 agité 1 110 1013
1062 donnant 1 110 1014
1063 une 1 110 1015
1064 impression 1 110 1016
1065 de 1 110 1017
1066 tempête). 1 110 1018
1067 — 1 111 0
1068 L'archet, 1 111 1
1069 lorsque 1 111 2
1070 avant 1 111 3
1071 qu'il 1 111 4
1072 serve 1 111 5
1073 on 1 111 6
1074 retend 1 111 7
1075 son 1 111 8
1076 crin, 1 111 9
1077 S'il 1 112 0
1078 faudra 1 112 1
1079 longtemps 1 112 2
1080 pour 1 112 3
1081 accorder 1 112 4
1082 le 1 112 5
1083 crincrin 1 112 6
1084 ; 1 112 7
1085 — 1 113 0
1086 Le 1 113 1
1087 thermomètre 1 113 2
1088 ailleurs 1 113 3
1089 placé 1 113 4
1090 que 1 113 5
1091 sous 1 113 6
1092 l'aisselle, 1 113 7
1093 Si 1 114 0
1094 loin 1 114 1
1095 du 1 114 2
1096 but 1 114 3
1097 encore 1 114 4
1098 est 1 114 5
1099 la 1 114 6
1100 prochaine 1 114 7
1101 selle 1 114 8
1102 ; 1 114 9
1103 — 1 115 0
1104 S'il 1 115 1
1105 sera 1 115 2
1106 d'une 1 115 3
1107 douche 1 115 4
1108 honoré, 1 115 5
1109 le 1 115 6
1110 genou 1 115 7
1111 Qu'en 1 116 0
1112 dada 1 116 1
1113 sédentaire 1 116 2
1114 a 1 116 3
1115 changé 1 116 4
1116 la 1 116 5
1117 nounou 1 116 6
1118 ; 1 116 7
1119 — 1 117 0
1120 Le 1 117 1
1121 procédé 1 117 2
1122 frappeur, 1 117 3
1123 pourquoi, 1 117 4
1124 fière, 1 117 5
1125 la 1 117 6
1126 bille 1 117 7
